From/TO,Car or Jeep Or Van
Kokapet/Edulanagulapally,10
Kokapet/Patancheru,20
Kokapet/Sultanpur,30
Kokapet/Dundigal,40
Kokapet/Medchal,50
Kokapet/Kandlakoya,0
Kokapet/Shamirpet,0
Kokapet/Ghatkesar,80
Kokapet/Taramatipet,70
Kokapet/Pedda Amberpet,60
Kokapet/Bongulur,50
Kokapet/Raviryal,40
Kokapet/Tukkuguda,40
Kokapet/Pedda Golconda,30
Kokapet/Shamshabad,20
Kokapet/Rajendra Nagar,10
Kokapet/Appa,10
Kokapet/Nanakramguda,10
Edulanagulapally/Patancheru,10
Edulanagulapally/Sultanpur,20
Edulanagulapally/Dundigal,30
Edulanagulapally/Medchal,40
Edulanagulapally/Kandlakoya,0
Edulanagulapally/Shamirpet,0
Edulanagulapally/Ghatkesar,90
Edulanagulapally/Taramatipet,80
Edulanagulapally/Pedda Amberpet,70
Edulanagulapally/Bongulur,60
Edulanagulapally/Raviryal,50
Edulanagulapally/Tukkuguda,50
Edulanagulapally/Pedda Golconda,40
Edulanagulapally/Shamshabad,30
Edulanagulapally/Rajendra Nagar,20
Edulanagulapally/Appa,20
Edulanagulapally/Nanakramguda,20
Edulanagulapally/Kokapet,10
Patancheru/Sultanpur,10
Patancheru/Dundigal,20
Patancheru/Medchal,30
Patancheru/Kandlakoya,0
Patancheru/Shamirpet,0
Patancheru/Ghatkesar,100
Patancheru/Taramtipet,90
Patancheru/Pedda Amberpet,80
Patancheru/Bongulur,70
Patancheru/Raviryal,60
Patancheru/Tukkuguda,60
Patancheru/Pedda Golconda,50
Patancheru/Shamshabad,40
Patancheru/Rajendra Nagar,30
Patancheru/Appa,30
Patancheru/Nanakramguda,30
Patancheru/Kokapet,20
Patancheru/Edulanagulapally,10
Sultanpur/Dundigal,10
Sultanpur/Medchal,20
Sultanpur/Kandlakoya,0
Sultanpur/Shamirpet,0
Sultanpur/Ghatkesar,110
Sultanpur/Taramtipet,100
Sultanpur/Pedda Amberpet,90
Sultanpur/Bongulur,80
Sultanpur/Raviryal,70
Sultanpur/Tukkuguda,70
Sultanpur/Pedda Golconda,60
Sultanpur/Shamshabad,50
Sultanpur/Rajendra Nagar,40
Sultanpur/Appa,40
Sultanpur/Nanakramguda,40
Sultanpur/Kokapet,30
Sultanpur/Edulanagulapally,20
Sultanpur/Patancheru,10
Saragudem/Medchal,10
Saragudem/Kandlakoya,0
Saragudem/Shamirpet,0
Saragudem/Ghatkesar,120
Saragudem/Taramtipet,110
Saragudem/Pedda Amberpet,100
Saragudem/Bongulur,90
Saragudem/Raviryal,80
Saragudem/Tukkuguda,80
Saragudem/Pedda Golconda,70
Saragudem/Shamshabad,60
Saragudem/Rajendra Nagar,50
Saragudem/Appa,50
Saragudem/Nanakramguda,50
Saragudem/Kokapet,40
Saragudem/Edulanagulapally,30
Saragudem/Patancheru,20
Saragudem/Sultanpur,10
Medchal/Kandlakoya,0
Medchal/Shamirpet,0
Medchal/Ghatkesar,130
Medchal/Taramtipet,120
Medchal/Pedda Amberpet,120
Medchal/Bongulur,100
Medchal/Raviryal,100
Medchal/Tukkuguda,90
Medchal/Pedda Golconda,80
Medchal/Shamshabad,70
Medchal/Rajendra Nagar,70
Medchal/Appa,60
Medchal/Nanakramguda,60
Medchal/Kokapet,50
Medchal/Edulanagulapally,40
Medchal/Patancheru,30
Medchal/Sultanpur,20
Medchal/Dundigal,10
Kandlakoya/Shamirpet,10
Kandlakoya/Ghatkesar,0
Kandlakoya/Taramatipet,0
Kandlakoya/Pedda Amberpet,0
Kandlakoya/Bongulur,0
Kandlakoya/Raviryal,0
Kandlakoya/Tukkuguda,0
Kandlakoya/Pedda Golconda,0
Kandlakoya/Shamshabad,0
Kandlakoya/Rajendra Nagar,0
Kandlakoya/Appa,0
Kandlakoya/Nanakramguda,0
Kandlakoya/Kokapet,0
Kandlakoya/Edulanagulapally,0
Kandlakoya/Patancheru,0
Kandlakoya/Sultanpur,0
Kandlakoya/Dundigal,0
Kandlakoya/Medchal,0
Shamirpet/Ghatkesar,0
Shamirpet/Taramatipet,0
Shamirpet/Pedda Amberpet,0
Shamirpet/Bongulur,0
Shamirpet/Raviryal,0
Shamirpet/Tukkuguda,0
Shamirpet/Pedda Golconda,0
Shamirpet/Shamshabad,0
Shamirpet/Rajendra Nagar,0
Shamirpet/Appa,0
Shamirpet/Nanakramguda,0
Shamirpet/Kokapet,0
Shamirpet/Edulanagulapally,0
Shamirpet/Patancheru,0
Shamirpet/Sultanpur,0
Shamirpet/Dundigal,0
Shamirpet/Medchal,0
Shamirpet/Kandlakoya,10
Pedda Amberpet/Ghatkesar,20
Pedda Amberpet/Taramatipet,10
Pedda Amberpet/Bongulur,10
Pedda Amberpet/Raviryal,20
Pedda Amberpet/Tukkuguda,30
Pedda Amberpet/Pedda Golconda,30
Pedda Amberpet/Shamshabad,40
Pedda Amberpet/Rajendra Nagar,50
Pedda Amberpet/Appa,50
Pedda Amberpet/Nanakramguda,60
Pedda Amberpet/Kokapet,60
Pedda Amberpet/Edulanagulapally,70
Pedda Amberpet/Patancheru,80
Pedda Amberpet/Sultanpur,90
Pedda Amberpet/Dundigal,100
Pedda Amberpet/Medchal,120
Pedda Amberpet/Kandlakoya,0
Pedda Amberpet/Shamirpet,0
Bongulur/Raviryal,10
Bongulur/Tukkuguda,10
Bongulur/Pedda Golconda,20
Bongulur/Shamshabad,30
Bongulur/Rajendra Nagar,40
Bongulur/Appa,40
Bongulur/Nanakramguda,50
Bongulur/Kokapet,50
Bongulur/Edulanagulapally,60
Bongulur/Patancheru,70
Bongulur/Sultanpur,80
Bongulur/Dundigal,90
Bongulur/Medchal,100
Bongulur/Kandlakoya,0
Bongulur/Shamirpet,0
Bongulur/Ghatkesar,30
Bongulur/Taramatipet,20
Bongulur/Pedda Amberpet,10
Raviryal/Tukkuguda,10
Raviryal/Pedda Golconda,10
Raviryal/Shamshabad,20
Raviryal/Rajendra Nagar,30
Raviryal/Appa,30
Raviryal/Nanakramguda,40
Raviryal/Kokapet,40
Raviryal/Edulanagulapally,50
Raviryal/Patancheru,60
Raviryal/Sultanpur,70
Raviryal/Dundigal,80
Raviryal/Medchal,100
Raviryal/Kandlakoya,0
Raviryal/Shamirpet,0
Raviryal/Gatkesar,40
Raviryal/Taramatipet,30
Raviryal/Pedda Amberpet,20
Raviryal/Bongulur,10
Tukkuguda/Pedda Golconda,10
Tukkuguda/Shamshabad,20
Tukkuguda/Rajendra Nagar,20
Tukkuguda/Appa,30
Tukkuguda/Nanakramguda,40
Tukkuguda/Kokapet,40
Tukkuguda/Edulanagulapally,50
Tukkuguda/Patancheru,60
Tukkuguda/Sultanpur,70
Tukkuguda/Dundigal,80
Tukkuguda/Medchal,90
Tukkuguda/Kandlakoya,0
Tukkuguda/Shamirpet,0
Tukkuguda/Gatkesar,40
Tukkuguda/Taramatipet,30
Tukkuguda/Pedda Amberpet,30
Tukkuguda/Bongulur,10
Tukkuguda/Raviryal,10
Pedda Golconda/Shamshabad,10
Pedda Golconda/Rajendra Nagar,20
Pedda Golconda/Appa,20
Pedda Golconda/Nanakramguda,30
Pedda Golconda/Kokapet,30
Pedda Golconda/Edulanagulapally,40
Pedda Golconda/Patancheru,50
Pedda Golconda/Sultanpur,60
Pedda Golconda/Dundigal,70
Pedda Golconda/Medchal,80
Pedda Golconda/Kandlakoya,0
Pedda Golconda/Shamirpet,0
Pedda Golconda/Ghatkesar,50
Pedda Golconda/Taramatipet,40
Pedda Golconda/Pedda Amberpet,30
Pedda Golconda/Bongulur,20
Pedda Golconda/Raviryal,10
Pedda Golconda/Tukkuguda,10
Shamshabad/Rajendra Nagar,10
Shamshabad/Appa,10
Shamshabad/Nanakramguda,20
Shamshabad/Kokapet,20
Shamshabad/Edulanagulapally,30
Shamshabad/Patancheru,40
Shamshabad/Sultanpur,50
Shamshabad/Dundigal,60
Shamshabad/Medchal,70
Shamshabad/Kandlakoya,0
Shamshabad/Shamirpet,0
Shamshabad/Ghatkesar,60
Shamshabad/Taramatipet,50
Shamshabad/Pedda Amberpet,40
Shamshabad/Bongulur,30
Shamshabad/Raviryal,20
Shamshabad/Tukkuguda,20
Shamshabad/Pedda Golconda,10
Rajendra Nagar/Appa,10
Rajendra Nagar/Nanakramguda,10
Rajendra Nagar/Kokapet,10
Rajendra Nagar/Edulanagulapally,20
Rajendra Nagar/Patancheru,30
Rajendra Nagar/Sultanpur,40
Rajendra Nagar/Dundigal,50
Rajendra Nagar/Medchal,70
Rajendra Nagar/Kandlakoya,0
Rajendra Nagar/Shamirpet,0
Rajendra Nagar/Ghatkesar,70
Rajendra Nagar/Taramatipet,60
Rajendra Nagar/Pedda Amberpet,50
Rajendra Nagar/Bongulur,40
Rajendra Nagar/Raviryal,30
Rajendra Nagar/Tukkuguda,20
Rajendra Nagar/Pedda Golconda,20
Rajendra Nagar/Shamshabad,10
Appa /Nanakramguda,10
Appa /Kokapet,10
Appa /Edulanagulapally,20
Appa /Patancheru,30
Appa /Sultanpur,40
Appa /Dundigal,50
Appa /Medchal,60
Appa /Kandlakoya,0
Appa /Shamirpet,0
Appa /Ghatkesar,70
Appa /Taramatipet,60
Appa /Pedda Amberpet,50
Appa /Bongulur,40
Appa /Raviryal,30
Appa /Tukkuguda,30
Appa /Pedda Golconda,20
Appa /Shamshabad,10
Appa /Rajendra Nagar,0
Nanakramguda/Kokapet,10
Nanakramguda/Edulanagulapally,20
Nanakramguda/Patancheru,30
Nanakramguda/Sultanpur,40
Nanakramguda/Dundigal,50
Nanakramguda/Medchal,60
Nanakramguda/Kandlakoya,0
Nanakramguda/Shamirpet,0
Nanakramguda/Ghatkesar,80
Nanakramguda/Taramatipet,70
Nanakramguda/Pedda Amberpet,60
Nanakramguda/Bongulur,50
Nanakramguda/Raviryal,40
Nanakramguda/Tukkuguda,40
Nanakramguda/Pedda Golconda,30
Nanakramguda/Shamshabad,20
Nanakramguda/Rajendra Nagar,10
Nanakramguda/Appa,10
Ghatkesar/Taramatipet,10
Ghatkesar/Pedda Amberpet,20
Ghatkesar/Bongulur,30
Ghatkesar/Raviryal,40
Ghatkesar/Tukkuguda,40
Ghatkesar/Pedda Golconda,50
Ghatkesar/Shamshabad,60
Ghatkesar/Rajendra Nagar,70
Ghatkesar/Appa,70
Ghatkesar/Nanakramguda,80
Ghatkesar/Kokapet,80
Ghatkesar/Edulanagulapally,90
Ghatkesar/Patancheru,100
Ghatkesar/Sultanpur,110
Ghatkesar/Dundigal,120
Ghatkesar/Medchal,130
Ghatkesar/Kandlakoya,0
Ghatkesar/Shamirpet,0
Taramatipet/Ghatkesar,10
Taramatipet/Pedda Amberpet,10
Taramatipet/Bongulur,20
Taramatipet/Raviryal,30
Taramatipet/Tukkuguda,30
Taramatipet/Pedda Golconda,40
Taramatipet/Shamshabad,50
Taramatipet/Rajendra Nagar,60
Taramatipet/Appa,60
Taramatipet/Nanakramguda,70
Taramatipet/Kokapet,70
Taramatipet/Edulanagulapally,80
Taramatipet/Patancheru,90
Taramatipet/Sultanpur,100
Taramatipet/Dundigal,110
Taramatipet/Medchal,120
Taramatipet/Kandlakoya,0
Taramatipet/Shamirpet,0
